advanced2                Basi rrrr fail=4 rec=4
Dualedge                 Hard rrzr fail=3 rec=3
d_flip_flop              Begi zrrr fail=3 rec=3
d_flip_flop_pulse_triggered Basi rrrz fail=3 rec=3
intermediate6            Inte rrrz fail=3 rec=3
mealy_state_machine      Inte zrrr fail=3 rec=3
multi_16bit              Expe rzrr fail=3 rec=3
multi_pipe_4bit          Hard rzrr fail=3 rec=3
Exams_2014_q3c           Inte rrzz fail=2 rec=2
RAM                      Expe rzrz fail=2 rec=2
accu                     Hard rzrz fail=2 rec=2
intermediate4            Begi rzrz fail=2 rec=2
jk_flip_flop             Begi rzzr fail=2 rec=2
adder_pipe_64bit         Expe rzzz fail=1 rec=1
advanced4                Hard rzzz fail=1 rec=1
d_flip_flop_pos_edge_sync_en Basi rzzz fail=1 rec=1
edge_detect              Basi rzzz fail=1 rec=1
freq_div                 Inte rzzz fail=1 rec=1
intermediate2            Begi rzzz fail=1 rec=1
jeff_74x377              Inte zzzr fail=1 rec=1
lifo_synchronous         Expe rzzz fail=1 rec=1
sr_flip_flop             Begi zzzr fail=1 rec=1
sr_latch                 Begi rzzz fail=1 rec=1
JC_counter               Hard zzzz fail=0 rec=0
counter_12               Begi zzzz fail=0 rec=0
intermediate5            Begi zzzz fail=0 rec=0
jeff_74x161              Inte zzzz fail=0 rec=0
jk_flip_flop_pos_edge_sync_clear Basi zzzz fail=0 rec=0
left_shift_register      Begi zzzz fail=0 rec=0
pe                       Hard zzzz fail=0 rec=0
right_shifter            Begi zzzz fail=0 rec=0
simple_8_bit_register    Basi zzzz fail=0 rec=0
simple_pipeline          Inte zzzz fail=0 rec=0
single_port_ram_synchronous Expe zzzz fail=0 rec=0
synchronizer             Expe zzzz fail=0 rec=0
width_8to16              Hard zzzz fail=0 rec=0
fsm                      Basi rrnr fail=4 rec=3
intermediate3            Basi rrnr fail=4 rec=3
multi_pipe_8bit          Expe rrrn fail=4 rec=3
programable_8_bit_microprocessor Expe rnrr fail=4 rec=3
pulse_detect             Hard rnrr fail=4 rec=3
2014_q3c                 Inte rrnz fail=3 rec=2
advanced3                Hard nzrr fail=3 rec=2
advanced5                Hard rrnz fail=3 rec=2
moore_state_machine      Inte rzzn fail=2 rec=1
m2014_q6c                Expe -nnr fail=3 rec=1
parallel2serial          Hard nznr fail=3 rec=1
m2014_q4a                Begi nznz fail=2 rec=0
2014_q3fsm               Hard rnnn fail=4 rec=1
buttons                  Expe rnnn fail=4 rec=1
m2014_q4c                Begi rnnn fail=4 rec=1
priority_arbiter         Expe rnnn fail=4 rec=1
review2015_fsmshift      Inte nnnr fail=4 rec=1
2013_q2bfsm              Expe nnnn fail=4 rec=0
2014_q3bfsm              Basi nnnn fail=4 rec=0
Count10                  Begi nnnn fail=4 rec=0
Count15                  Begi nnnn fail=4 rec=0
Count1to10               Begi nnnn fail=4 rec=0
Count_clock              Expe nnnn fail=4 rec=0
Countbcd                 Basi nnnn fail=4 rec=0
Countslow                Basi nnnn fail=4 rec=0
Cs450_timer              Hard nnnn fail=4 rec=0
Dff                      Begi nnnn fail=4 rec=0
Dff16e                   Inte nnnn fail=4 rec=0
Dff8                     Begi nnnn fail=4 rec=0
Dff8ar_b                 Basi nnnn fail=4 rec=0
Dff8p_b                  Basi nnnn fail=4 rec=0
Dff8r                    Begi nnnn fail=4 rec=0
Edgecapture              Basi nnnn fail=4 rec=0
Edgedetect               Basi nnnn fail=4 rec=0
Edgedetect2              Basi nnnn fail=4 rec=0
Exams_2013_q2bfsm        Expe nnnn fail=4 rec=0
Exams_2014_q3bfsm        Basi nnnn fail=4 rec=0
Exams_2014_q3fsm         Hard nnnn fail=4 rec=0
Fsm3                     Basi nnnn fail=4 rec=0
Fsm3s                    Basi nnnn fail=4 rec=0
Fsm_hdlc                 Hard nnnn fail=4 rec=0
Fsm_ps2                  Inte nnnn fail=4 rec=0
Fsm_ps2data              Inte nnnn fail=4 rec=0
Fsm_serial               Inte nnnn fail=4 rec=0
Fsm_serialdata           Inte nnnn fail=4 rec=0
Lfsr32                   Hard nnnn fail=4 rec=0
Rule110                  Inte nnnn fail=4 rec=0
Rule90                   Inte nnnn fail=4 rec=0
Shift18                  Inte nnnn fail=4 rec=0
Shift4                   Basi nnnn fail=4 rec=0
_ece241_2013_q4          Expe nnnn fail=4 rec=0
ece241_2013_q12          Inte nnnn fail=4 rec=0
ece241_2013_q4           Expe nnnn fail=4 rec=0
ece241_2013_q7           Begi nnnn fail=4 rec=0
ece241_2014_q5a          Expe nnnn fail=4 rec=0
jk_flip_flop_pulse_triggered Basi nnnn fail=4 rec=0
m2014_q4b                Begi nnnn fail=4 rec=0
radix2_div               Expe nnnn fail=4 rec=0
review2015_count1k       Hard nnnn fail=4 rec=0
review2015_fancytimer    Expe nnnn fail=4 rec=0
review2015_fsm           Hard nnnn fail=4 rec=0
review2015_fsmseq        Inte nnnn fail=4 rec=0
review2015_shiftcount    Inte nnnn fail=4 rec=0
signal_generator         Hard nnnn fail=4 rec=0
traffic_light            Expe nnnn fail=4 rec=0
