class,difficulty,problem,tb,g2012_unpatched,golden_result,patch
building larger circuits,Expert(5),Conwaylife,testbench.sv,fwdref_tb_mismatch,PASS 0/5023,patched
combinatial logic,Basic(2),alwaysblock2-2,testbench.sv,fwdref_tb_mismatch,PASS 0/219,patched
combinatial logic,Basic(2),gatesv-2,testbench.sv,fwdref_tb_mismatch,PASS 0/213,patched
combinatial logic,Basic(2),m2014_q4a-2,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Beginner(1),bugs_mux2-2,testbench.sv,fwdref_tb_mismatch,PASS 0/114,patched
combinatial logic,Beginner(1),m2014_q4e,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Expert(5),circuit5,testbench.sv,fwdref_tb_mismatch,PASS 0/141,patched
combinatial logic,Expert(5),circuit6,testbench.sv,fwdref_tb_mismatch,PASS 0/113,patched
combinatial logic,Expert(5),fsm3onehot-2,testbench.sv,fwdref_tb_mismatch,PASS 0/600,patched
combinatial logic,Expert(5),fsm_onehot-2,testbench.sv,fwdref_tb_mismatch,PASS 0/1424,patched
combinatial logic,Hard(4),always_case2-2,testbench.sv,fwdref_tb_mismatch,PASS 0/94,patched
combinatial logic,Hard(4),circuit2,testbench.sv,fwdref_tb_mismatch,PASS 0/121,patched
combinatial logic,Hard(4),circuit3,testbench.sv,fwdref_tb_mismatch,PASS 0/121,patched
combinatial logic,Hard(4),circuit4,testbench.sv,fwdref_tb_mismatch,PASS 0/121,patched
combinatial logic,Hard(4),ece241_2013_q2'',testbench.v,fwdref_tb_mismatch,PASS 0/107,patched
combinatial logic,Hard(4),ece241_2013_q2-2,testbench.sv,fwdref_tb_mismatch,PASS 0/107,patched
combinatial logic,Hard(4),ece241_2014_q3,testbench.sv,fwdref_tb_mismatch,PASS 0/60,patched
combinatial logic,Intermediate(3),circuit1,testbench.sv,fwdref_tb_mismatch,PASS 0/120,patched
combinatial logic,Intermediate(3),m2014_q3,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Intermediate(3),m2014_q4f,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Intermediate(3),m2014_q4g,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Intermediate(3),m2014_q4i,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Intermediate(3),m2014_q4j,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Intermediate(3),m2014_q6b,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
combinatial logic,Intermediate(3),m2014_q6c-2,testbench.sv,fwdref_tb_mismatch,PASS 0/600,patched
combinatial logic,Intermediate(3),mt2015_q4,testbench.sv,fwdref_tb_mismatch,PASS 0/200,patched
combinatial logic,Intermediate(3),mt2015_q4b,testbench.sv,fwdref_tb_mismatch,PASS 0/110,patched
combinatial logic,Intermediate(3),truthtable1,testbench.sv,fwdref_tb_mismatch,PASS 0/58,patched
combinatial logic,Intermediate(3),vector0,testbench.sv,fwdref_tb_mismatch,PASS 0/21,patched
combinatial logic,Intermediate(3),wire_decl,testbench.sv,fwdref_tb_mismatch,PASS 0/122,patched
sequential logic,Basic(2),2014_q3bfsm,testbench.sv,fwdref_tb_mismatch,PASS 0/1006,patched
sequential logic,Basic(2),2014_q4a,testbench.sv,fwdref_tb_mismatch,PASS 0/200,patched
sequential logic,Basic(2),Countbcd,testbench.sv,fwdref_tb_mismatch,PASS 0/39805,patched
sequential logic,Basic(2),Countslow,testbench.sv,fwdref_tb_mismatch,PASS 0/499,patched
sequential logic,Basic(2),Dff8ar,testbench.sv,fwdref_tb_mismatch,PASS 0/436,patched
sequential logic,Basic(2),Dff8p,testbench.sv,fwdref_tb_mismatch,PASS 0/436,patched
sequential logic,Basic(2),Edgecapture,testbench.sv,fwdref_tb_mismatch,PASS 0/266,patched
sequential logic,Basic(2),Edgedetect,testbench.sv,fwdref_tb_mismatch,PASS 0/227,patched
sequential logic,Basic(2),Edgedetect2,testbench.sv,fwdref_tb_mismatch,PASS 0/228,patched
sequential logic,Basic(2),Fsm3,testbench.sv,fwdref_tb_mismatch,PASS 0/230,patched
