class,difficulty,problem,tb_ext,plain_mode,plain_rc,sv_mode,sv_rc,golden_g2012_mismatches,ref_as_dut_plain_mode
building larger circuits,Expert(5),Adder100i,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Expert(5),Conwaylife,sv,syntax,45,unknown_module_only,2,compile_fail_g2012,rc=53 syntax
building larger circuits,Expert(5),FIFO_memory,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Expert(5),alu,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Expert(5),asyn_fifo,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Expert(5),fifo_asynchronous,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Hard(4),Bcsadd100,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Hard(4),adder_32bit,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Hard(4),dual_port_ram_asynchronous,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Hard(4),dual_port_ram_synchronous,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Hard(4),fifo_synchronous,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Intermediate(3),Bcdadd4,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Intermediate(3),Module'',v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Intermediate(3),Module_addsub_b,v,unknown_module_only,2,unknown_module_only,2,,
building larger circuits,Intermediate(3),Module_fadd_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),7458_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Always_if,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Alwaysblock1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Alwaysblock2'',v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Bugs_case,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Bugs_mux4,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Gates100,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Gates4,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Gatesv'',v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Hadd,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Kmap1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Mt2015_eq2,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Mt2015_q4a,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),Mux2to1v_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),alwaysblock2-2,sv,syntax,43,unknown_module_only,2,compile_fail_g2012,rc=43 syntax
combinatial logic,Basic(2),basic3,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),decoder_3_8,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),demux_1x4,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),encoder_8_3,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),gatesv-2,sv,syntax,36,unknown_module_only,2,compile_fail_g2012,rc=36 syntax
combinatial logic,Basic(2),half_adder,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Basic(2),intermediate1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),jeff_74x151,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),jeff_74x157,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),m2014_q4a-2,sv,syntax,29,unknown_module_only,2,compile_fail_g2012,rc=29 syntax
combinatial logic,Basic(2),mux_to_demux,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Basic(2),nand4,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Beginner(1),7420_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Andgate,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Bugs_mux2,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Bugs_nand3,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Fadd,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Gates,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Mux2to1_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Norgate_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Step_one,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Wire,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Wire4_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Xnorgate_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),Zero,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),and2,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Beginner(1),basic1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),basic2,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),basic4,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),bugs_mux2-2,sv,syntax,34,unknown_module_only,2,compile_fail_g2012,rc=34 syntax
combinatial logic,Beginner(1),full_adder,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Beginner(1),m2014_q4e,sv,syntax,29,unknown_module_only,2,compile_fail_g2012,rc=29 syntax
combinatial logic,Beginner(1),m2014_q4h,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),mux_4x1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Beginner(1),nor2,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Beginner(1),not1,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Beginner(1),or2,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Beginner(1),xor2,v,unknown_module_only,4,unknown_module_only,4,,
combinatial logic,Expert(5),Always_casez,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Always_if2,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Fsm3comb,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Fsm3onehot,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Kmap3,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Mux256to1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Mux256to1v,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Popcount255,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Reduction,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Ringer,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Thermostat,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Vector100r,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Vector2_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Vector3_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Vector5_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),Vectorgates,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),barrel_shifter,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),circuit5,sv,syntax,40,unknown_module_only,2,compile_fail_g2012,rc=40 syntax
combinatial logic,Expert(5),circuit6,sv,syntax,28,unknown_module_only,2,compile_fail_g2012,rc=28 syntax
combinatial logic,Expert(5),div_16bit,v,other,1,other,1,,
combinatial logic,Expert(5),fsm3onehot-2,sv,syntax,37,unknown_module_only,2,compile_fail_g2012,rc=37 syntax
combinatial logic,Expert(5),fsm_onehot-2,sv,syntax,53,unknown_module_only,2,compile_fail_g2012,rc=53 syntax
combinatial logic,Expert(5),jeff_74x181,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),multi_8bit,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Expert(5),sub_64bit,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Adder100,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Always_case,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Always_case2,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Gatesv100,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Kmap2'',v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Kmap4,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Mux9to1v_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Truethtable1_b,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Vector1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Vector4,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),Vectorr,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),adder_bcd,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),advanced1,v,unknown_module_only,2,unknown_module_only,2,,
combinatial logic,Hard(4),always_case2-2,sv,syntax,28,unknown_module_only,2,compile_fail_g2012,rc=28 syntax
combinatial logic,Hard(4),circuit2,sv,syntax,37,unknown_module_only,2,compile_fail_g2012,rc=37 syntax
combinatial logic,Hard(4),circuit3,sv,syntax,37,unknown_module_only,2,compile_fail_g2012,rc=37 syntax
combinatial logic,Hard(4),circuit4,sv,syntax,37,unknown_module_only,2,compile_fail_g2012,rc=37 syntax
combinatial logic,Hard(4),ece241_2013_q2'',v,syntax,47,unknown_module_only,2,compile_fail_g2012,rc=47 syntax
combinatial logic,Hard(4),ece241_2013_q2-2,sv,syntax,47,unknown_module_only,2,compile_fail_g2012,rc=47 syntax
combinatial logic,Hard(4),ece241_2014_q3,sv,syntax,31,unknown_module_only,2,compile_fail_g2012,rc=31 syntax
