release_name,source_dir,class,difficulty,testbench_file,testbench_kind,in_verilogeval,ve_prob_id,ve_name,duplicate_of,released_as
Adder100i,Adder100i,larger_blocks,5,testbench.v,plain_verilog,0,,,,full
Conwaylife,Conwaylife,larger_blocks,5,testbench.sv,systemverilog,1,Prob144,conwaylife,,labels_only
FIFO_memory,FIFO_memory,larger_blocks,5,testbench.v,plain_verilog,0,,,,full
alu,alu,larger_blocks,5,testbench.v,plain_verilog,0,,,,full
asyn_fifo,asyn_fifo,larger_blocks,5,testbench.v,plain_verilog,0,,,,full
fifo_asynchronous,fifo_asynchronous,larger_blocks,5,testbench.v,plain_verilog,0,,,,full
Bcsadd100,Bcsadd100,larger_blocks,4,testbench.v,plain_verilog,0,,,,full
adder_32bit,adder_32bit,larger_blocks,4,testbench.v,plain_verilog,0,,,,full
dual_port_ram_asynchronous,dual_port_ram_asynchronous,larger_blocks,4,testbench.v,plain_verilog,0,,,,full
dual_port_ram_synchronous,dual_port_ram_synchronous,larger_blocks,4,testbench.v,plain_verilog,0,,,,full
fifo_synchronous,fifo_synchronous,larger_blocks,4,testbench.v,plain_verilog,0,,,,full
Bcdadd4,Bcdadd4,larger_blocks,3,testbench.v,plain_verilog,0,,,,full
Module_alt,Module'',larger_blocks,3,testbench.v,plain_verilog,0,,,Module,full
Module_addsub_b,Module_addsub_b,larger_blocks,3,testbench.v,plain_verilog,0,,,,full
Module_fadd_b,Module_fadd_b,larger_blocks,3,testbench.v,plain_verilog,0,,,,full
7458_b,7458_b,combinational,2,testbench.v,plain_verilog,1,Prob081,7458,,labels_and_our_testbench
Always_if,Always_if,combinational,2,testbench.v,plain_verilog,1,Prob039,always_if,,labels_and_our_testbench
Alwaysblock1,Alwaysblock1,combinational,2,testbench.v,plain_verilog,1,Prob026,alwaysblock1,,labels_and_our_testbench
Alwaysblock2_alt,Alwaysblock2'',combinational,2,testbench.v,plain_verilog,1,Prob058,alwaysblock2,Alwaysblock2,labels_and_our_testbench
Bugs_case,Bugs_case,combinational,2,testbench.v,plain_verilog,1,Prob114,bugs_case,,labels_and_our_testbench
Bugs_mux4,Bugs_mux4,combinational,2,testbench.v,plain_verilog,0,,,,full
Gates100,Gates100,combinational,2,testbench.v,plain_verilog,1,Prob052,gates100,,labels_and_our_testbench
Gates4,Gates4,combinational,2,testbench.v,plain_verilog,1,Prob051,gates4,,labels_and_our_testbench
Gatesv_alt,Gatesv'',combinational,2,testbench.v,plain_verilog,1,Prob094,gatesv,Gatesv,labels_and_our_testbench
Hadd,Hadd,combinational,2,testbench.v,plain_verilog,1,Prob024,hadd,,labels_and_our_testbench
Kmap1,Kmap1,combinational,2,testbench.v,plain_verilog,1,Prob050,kmap1,,labels_and_our_testbench
Mt2015_eq2,Mt2015_eq2,combinational,2,testbench.v,plain_verilog,1,Prob020,mt2015_eq2,,labels_and_our_testbench
Mt2015_q4a,Mt2015_q4a,combinational,2,testbench.v,plain_verilog,1,Prob010,mt2015_q4a,,labels_and_our_testbench
Mux2to1v_b,Mux2to1v_b,combinational,2,testbench.v,plain_verilog,1,Prob017,mux2to1v,,labels_and_our_testbench
alwaysblock2-2,alwaysblock2-2,combinational,2,testbench.sv,systemverilog,1,Prob058,alwaysblock2,alwaysblock2,labels_only
basic3,basic3,combinational,2,testbench.v,plain_verilog,0,,,,full
decoder_3_8,decoder_3_8,combinational,2,testbench.v,plain_verilog,0,,,,full
demux_1x4,demux_1x4,combinational,2,testbench.v,plain_verilog,0,,,,full
encoder_8_3,encoder_8_3,combinational,2,testbench.v,plain_verilog,0,,,,full
gatesv-2,gatesv-2,combinational,2,testbench.sv,systemverilog,1,Prob094,gatesv,gatesv,labels_only
half_adder,half_adder,combinational,2,testbench.v,plain_verilog,0,,,,full
intermediate1,intermediate1,combinational,2,testbench.v,plain_verilog,0,,,,full
jeff_74x151,jeff_74x151,combinational,2,testbench.v,plain_verilog,0,,,,full
jeff_74x157,jeff_74x157,combinational,2,testbench.v,plain_verilog,0,,,,full
m2014_q4a-2,m2014_q4a-2,combinational,2,testbench.sv,systemverilog,1,Prob028,m2014_q4a,m2014_q4a,labels_only
mux_to_demux,mux_to_demux,combinational,2,testbench.v,plain_verilog,0,,,,full
nand4,nand4,combinational,2,testbench.v,plain_verilog,0,,,,full
