release_name,class,difficulty,testbench_file,simulator,flags,compile_unpatched,reference_result,patch
Conwaylife,larger_blocks,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/5023,tb_mismatch removed from $dumpvars
alwaysblock2-2,combinational,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/219,tb_mismatch removed from $dumpvars
gatesv-2,combinational,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/213,tb_mismatch removed from $dumpvars
m2014_q4a-2,combinational,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
bugs_mux2-2,combinational,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/114,tb_mismatch removed from $dumpvars
m2014_q4e,combinational,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
circuit5,combinational,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/141,tb_mismatch removed from $dumpvars
circuit6,combinational,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/113,tb_mismatch removed from $dumpvars
fsm3onehot-2,combinational,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/600,tb_mismatch removed from $dumpvars
fsm_onehot-2,combinational,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1424,tb_mismatch removed from $dumpvars
always_case2-2,combinational,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/94,tb_mismatch removed from $dumpvars
circuit2,combinational,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/121,tb_mismatch removed from $dumpvars
circuit3,combinational,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/121,tb_mismatch removed from $dumpvars
circuit4,combinational,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/121,tb_mismatch removed from $dumpvars
ece241_2013_q2_alt,combinational,4,testbench.v,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/107,tb_mismatch removed from $dumpvars
ece241_2013_q2-2,combinational,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/107,tb_mismatch removed from $dumpvars
ece241_2014_q3,combinational,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/60,tb_mismatch removed from $dumpvars
circuit1,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/120,tb_mismatch removed from $dumpvars
m2014_q3,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4f,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4g,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4i,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4j,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q6b,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q6c-2,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/600,tb_mismatch removed from $dumpvars
mt2015_q4,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/200,tb_mismatch removed from $dumpvars
mt2015_q4b,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/110,tb_mismatch removed from $dumpvars
truthtable1,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/58,tb_mismatch removed from $dumpvars
vector0,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/21,tb_mismatch removed from $dumpvars
wire_decl,combinational,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/122,tb_mismatch removed from $dumpvars
2014_q3bfsm,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1006,tb_mismatch removed from $dumpvars
2014_q4a,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/200,tb_mismatch removed from $dumpvars
Countbcd,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/39805,tb_mismatch removed from $dumpvars
Countslow,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/499,tb_mismatch removed from $dumpvars
Dff8ar,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/436,tb_mismatch removed from $dumpvars
Dff8p,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/436,tb_mismatch removed from $dumpvars
Edgecapture,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/266,tb_mismatch removed from $dumpvars
Edgedetect,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/227,tb_mismatch removed from $dumpvars
Edgedetect2,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/228,tb_mismatch removed from $dumpvars
Fsm3,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/230,tb_mismatch removed from $dumpvars
Fsm3s,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/230,tb_mismatch removed from $dumpvars
Shift4,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/427,tb_mismatch removed from $dumpvars
counter_2bc,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1051,tb_mismatch removed from $dumpvars
fsm1s,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/230,tb_mismatch removed from $dumpvars
fsm2s,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/241,tb_mismatch removed from $dumpvars
m2014_q4k,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/299,tb_mismatch removed from $dumpvars
m2014_q6,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/200,tb_mismatch removed from $dumpvars
mt2015_muxdff,sequential,2,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/199,tb_mismatch removed from $dumpvars
Count10,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/439,tb_mismatch removed from $dumpvars
Count15,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/421,tb_mismatch removed from $dumpvars
Count1to10,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/439,tb_mismatch removed from $dumpvars
Dff,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/121,tb_mismatch removed from $dumpvars
Dff8,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/41,tb_mismatch removed from $dumpvars
Dff8r,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/432,tb_mismatch removed from $dumpvars
ece241_2013_q7,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/422,tb_mismatch removed from $dumpvars
fsm1,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/228,tb_mismatch removed from $dumpvars
fsm2,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/241,tb_mismatch removed from $dumpvars
m2014_q4a,sequential,1,testbench.v,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4b,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4c,sequential,1,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
m2014_q4c_alt,sequential,1,testbench.v,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
2013_q2afsm,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/555,tb_mismatch removed from $dumpvars
2013_q2bfsm,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1002,tb_mismatch removed from $dumpvars
Count_clock,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/352413,tb_mismatch removed from $dumpvars
ece241_2013_q4,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/2040,tb_mismatch removed from $dumpvars
ece241_2014_q5a,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/436,tb_mismatch removed from $dumpvars
gshare,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1083,tb_mismatch removed from $dumpvars
review2015_fancytimer,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/235447,tb_mismatch removed from $dumpvars
review2015_fsmonehot,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/3303,tb_mismatch removed from $dumpvars
rotate100,sequential,5,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/4005,tb_mismatch removed from $dumpvars
2012_q2fsm,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/200,tb_mismatch removed from $dumpvars
2014_q3fsm,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1414,tb_mismatch removed from $dumpvars
Fsm_hdlc,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/801,tb_mismatch removed from $dumpvars
Lfsr32,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/400411,tb_mismatch removed from $dumpvars
circuit10,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/232,tb_mismatch removed from $dumpvars
circuit7,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/123,tb_mismatch removed from $dumpvars
circuit8,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/240,tb_mismatch removed from $dumpvars
circuit9,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/245,tb_mismatch removed from $dumpvars
