record_name,release_name,model,passed,repair_rounds,note
2012_q1g_b,2012_q1g,gpt-4,1,19,
2012_q1g_b,2012_q1g,gpt-4o,1,0,
2012_q1g_b,2012_q1g,gpt-4o-mini,0,25,
2012_q1g_b,2012_q1g,o1-mini,1,1,
2013_q2bfsm,2013_q2bfsm,gpt-4,0,25,
2013_q2bfsm,2013_q2bfsm,gpt-4o,0,25,
2013_q2bfsm,2013_q2bfsm,gpt-4o-mini,0,25,
2013_q2bfsm,2013_q2bfsm,o1-mini,0,25,
2014_q3bfsm,2014_q3bfsm,gpt-4,0,25,
2014_q3bfsm,2014_q3bfsm,gpt-4o,0,25,
2014_q3bfsm,2014_q3bfsm,gpt-4o-mini,0,25,
2014_q3bfsm,2014_q3bfsm,o1-mini,0,25,
2014_q3c,2014_q3c,gpt-4,1,1,
2014_q3c,2014_q3c,gpt-4o,1,3,
2014_q3c,2014_q3c,gpt-4o-mini,0,25,
2014_q3c,2014_q3c,o1-mini,1,0,
2014_q3fsm,2014_q3fsm,gpt-4,1,1,
2014_q3fsm,2014_q3fsm,gpt-4o,0,25,
2014_q3fsm,2014_q3fsm,gpt-4o-mini,0,25,
2014_q3fsm,2014_q3fsm,o1-mini,0,25,
2014_q4b,,gpt-4,0,25,
2014_q4b,,gpt-4o,0,25,
2014_q4b,,gpt-4o-mini,0,25,
2014_q4b,,o1-mini,0,25,
7420_b,7420_b,gpt-4,1,0,
7420_b,7420_b,gpt-4o,1,0,
7420_b,7420_b,gpt-4o-mini,1,0,
7420_b,7420_b,o1-mini,1,0,
7458_b,7458_b,gpt-4,1,2,
7458_b,7458_b,gpt-4o,1,5,
7458_b,7458_b,gpt-4o-mini,0,25,
7458_b,7458_b,o1-mini,1,0,
accu,accu,gpt-4,1,24,
accu,accu,gpt-4o,1,0,
accu,accu,gpt-4o-mini,1,1,
accu,accu,o1-mini,1,0,
Adder100i_b,Adder100i,gpt-4,1,0,
Adder100i_b,Adder100i,gpt-4o,1,1,
Adder100i_b,Adder100i,gpt-4o-mini,1,1,
Adder100i_b,Adder100i,o1-mini,1,1,
Adder100_b,Adder100,gpt-4,1,0,
Adder100_b,Adder100,gpt-4o,1,0,
Adder100_b,Adder100,gpt-4o-mini,1,0,
Adder100_b,Adder100,o1-mini,1,0,
Adder3,Adder3,gpt-4,1,0,
Adder3,Adder3,gpt-4o,1,1,
Adder3,Adder3,gpt-4o-mini,1,0,
Adder3,Adder3,o1-mini,1,0,
adder_16bit,adder_16bit,gpt-4,1,6,
adder_16bit,adder_16bit,gpt-4o,1,0,
adder_16bit,adder_16bit,gpt-4o-mini,1,0,
adder_16bit,adder_16bit,o1-mini,1,0,
adder_32bit,adder_32bit,gpt-4,1,14,
adder_32bit,adder_32bit,gpt-4o,1,1,
adder_32bit,adder_32bit,gpt-4o-mini,0,25,
adder_32bit,adder_32bit,o1-mini,1,3,
adder_8bit,adder_8bit,gpt-4,1,1,
adder_8bit,adder_8bit,gpt-4o,1,0,
adder_8bit,adder_8bit,gpt-4o-mini,1,0,
adder_8bit,adder_8bit,o1-mini,1,0,
adder_pipe_64bit,adder_pipe_64bit,gpt-4,1,4,
adder_pipe_64bit,adder_pipe_64bit,gpt-4o,1,0,
adder_pipe_64bit,adder_pipe_64bit,gpt-4o-mini,1,0,
adder_pipe_64bit,adder_pipe_64bit,o1-mini,1,0,
advanced1,advanced1,gpt-4,0,25,
advanced1,advanced1,gpt-4o,0,25,
advanced1,advanced1,gpt-4o-mini,1,8,
advanced1,advanced1,o1-mini,0,25,
advanced2,advanced2,gpt-4,1,1,
advanced2,advanced2,gpt-4o,1,1,
advanced2,advanced2,gpt-4o-mini,1,1,
advanced2,advanced2,o1-mini,1,1,
advanced3,advanced3,gpt-4,0,25,
advanced3,advanced3,gpt-4o,1,0,
advanced3,advanced3,gpt-4o-mini,1,3,
advanced3,advanced3,o1-mini,1,1,
advanced4,advanced4,gpt-4,1,1,
advanced4,advanced4,gpt-4o,1,0,
advanced4,advanced4,gpt-4o-mini,1,0,
advanced4,advanced4,o1-mini,1,0,
advanced5,advanced5,gpt-4,1,6,
advanced5,advanced5,gpt-4o,1,13,
advanced5,advanced5,gpt-4o-mini,0,25,
advanced5,advanced5,o1-mini,1,0,
alu,alu,gpt-4,0,25,
alu,alu,gpt-4o,0,25,
alu,alu,gpt-4o-mini,0,25,
alu,alu,o1-mini,0,25,
Alwaysblock1,Alwaysblock1,gpt-4,1,0,
Alwaysblock1,Alwaysblock1,gpt-4o,1,0,
Alwaysblock1,Alwaysblock1,gpt-4o-mini,1,0,
Alwaysblock1,Alwaysblock1,o1-mini,1,0,
Alwaysblock2,Alwaysblock2_alt,gpt-4,0,25,
Alwaysblock2,Alwaysblock2_alt,gpt-4o,0,25,
Alwaysblock2,Alwaysblock2_alt,gpt-4o-mini,0,25,
Alwaysblock2,Alwaysblock2_alt,o1-mini,1,23,
Always_case,Always_case,gpt-4,1,0,
Always_case,Always_case,gpt-4o,1,0,
Always_case,Always_case,gpt-4o-mini,1,0,
Always_case,Always_case,o1-mini,1,0,
Always_case2,Always_case2,gpt-4,1,9,
Always_case2,Always_case2,gpt-4o,0,25,
Always_case2,Always_case2,gpt-4o-mini,0,25,
Always_case2,Always_case2,o1-mini,1,1,
Always_casez,Always_casez,gpt-4,1,0,
Always_casez,Always_casez,gpt-4o,1,0,
Always_casez,Always_casez,gpt-4o-mini,1,0,
Always_casez,Always_casez,o1-mini,1,0,
Always_if,Always_if,gpt-4,1,0,
Always_if,Always_if,gpt-4o,1,0,
Always_if,Always_if,gpt-4o-mini,1,0,
Always_if,Always_if,o1-mini,1,0,
Always_if2,Always_if2,gpt-4,1,0,
Always_if2,Always_if2,gpt-4o,1,0,
Always_if2,Always_if2,gpt-4o-mini,1,0,
Always_if2,Always_if2,o1-mini,1,0,
Always_nolatches_b,Always_nolatches,gpt-4,1,0,
Always_nolatches_b,Always_nolatches,gpt-4o,1,0,
Always_nolatches_b,Always_nolatches,gpt-4o-mini,1,0,
Always_nolatches_b,Always_nolatches,o1-mini,1,0,
and2,and2,gpt-4,1,0,
and2,and2,gpt-4o,1,0,
and2,and2,gpt-4o-mini,1,0,
and2,and2,o1-mini,1,0,
Andgate_b,Andgate,gpt-4,1,0,
Andgate_b,Andgate,gpt-4o,1,0,
Andgate_b,Andgate,gpt-4o-mini,1,0,
Andgate_b,Andgate,o1-mini,1,0,
asyn_fifo,asyn_fifo,gpt-4,0,25,
asyn_fifo,asyn_fifo,gpt-4o,0,25,
asyn_fifo,asyn_fifo,gpt-4o-mini,0,25,
asyn_fifo,asyn_fifo,o1-mini,0,25,
basic1,basic1,gpt-4,1,0,
basic1,basic1,gpt-4o,1,0,
basic1,basic1,gpt-4o-mini,1,0,
basic1,basic1,o1-mini,1,0,
basic2,basic2,gpt-4,1,0,
basic2,basic2,gpt-4o,1,0,
basic2,basic2,gpt-4o-mini,1,0,
basic2,basic2,o1-mini,1,0,
basic3,basic3,gpt-4,1,13,
basic3,basic3,gpt-4o,0,25,
basic3,basic3,gpt-4o-mini,0,25,
basic3,basic3,o1-mini,1,1,
basic4,basic4,gpt-4,1,0,
basic4,basic4,gpt-4o,1,0,
basic4,basic4,gpt-4o-mini,1,0,
basic4,basic4,o1-mini,1,0,
Bcdadd4_b,Bcdadd4,gpt-4,1,2,
Bcdadd4_b,Bcdadd4,gpt-4o,1,0,
Bcdadd4_b,Bcdadd4,gpt-4o-mini,1,1,
Bcdadd4_b,Bcdadd4,o1-mini,1,1,
Bcsadd100_b,Bcsadd100,gpt-4,1,10,
Bcsadd100_b,Bcsadd100,gpt-4o,1,6,
Bcsadd100_b,Bcsadd100,gpt-4o-mini,1,2,
Bcsadd100_b,Bcsadd100,o1-mini,1,1,
Bugs_addsubz,Bugs_addsubz,gpt-4,1,0,
Bugs_addsubz,Bugs_addsubz,gpt-4o,1,0,
Bugs_addsubz,Bugs_addsubz,gpt-4o-mini,1,0,
Bugs_addsubz,Bugs_addsubz,o1-mini,1,0,
Bugs_case,Bugs_case,gpt-4,1,0,
Bugs_case,Bugs_case,gpt-4o,1,1,
Bugs_case,Bugs_case,gpt-4o-mini,1,0,
Bugs_case,Bugs_case,o1-mini,1,0,
Bugs_mux2,Bugs_mux2,gpt-4,1,2,
Bugs_mux2,Bugs_mux2,gpt-4o,0,25,
Bugs_mux2,Bugs_mux2,gpt-4o-mini,0,25,
Bugs_mux2,Bugs_mux2,o1-mini,1,2,
Bugs_mux4,Bugs_mux4,gpt-4,1,3,
Bugs_mux4,Bugs_mux4,gpt-4o,1,0,
Bugs_mux4,Bugs_mux4,gpt-4o-mini,1,0,
Bugs_mux4,Bugs_mux4,o1-mini,1,1,
Bugs_nand3,Bugs_nand3,gpt-4,1,1,
Bugs_nand3,Bugs_nand3,gpt-4o,1,0,
Bugs_nand3,Bugs_nand3,gpt-4o-mini,1,0,
Bugs_nand3,Bugs_nand3,o1-mini,1,2,
buttons,buttons,gpt-4,1,10,
buttons,buttons,gpt-4o,0,25,
buttons,buttons,gpt-4o-mini,0,25,
buttons,buttons,o1-mini,0,25,
calender,,gpt-4,0,25,
calender,,gpt-4o,0,25,
calender,,gpt-4o-mini,0,25,
calender,,o1-mini,0,25,
clock,,gpt-4,0,25,
clock,,gpt-4o,0,25,
clock,,gpt-4o-mini,0,25,
clock,,o1-mini,0,25,
Conditional,Conditional,gpt-4,1,0,
Conditional,Conditional,gpt-4o,1,0,
Conditional,Conditional,gpt-4o-mini,1,0,
Conditional,Conditional,o1-mini,1,0,
Conwaylife,Conwaylife,gpt-4,0,25,
Conwaylife,Conwaylife,gpt-4o,0,25,
Conwaylife,Conwaylife,gpt-4o-mini,0,25,
Conwaylife,Conwaylife,o1-mini,0,25,
Count10,Count10,gpt-4,0,25,
Count10,Count10,gpt-4o,0,25,
Count10,Count10,gpt-4o-mini,0,25,
Count10,Count10,o1-mini,0,25,
Count15,Count15,gpt-4,0,25,
Count15,Count15,gpt-4o,0,25,
Count15,Count15,gpt-4o-mini,0,25,
Count15,Count15,o1-mini,0,25,
Count1to10,Count1to10,gpt-4,0,25,
Count1to10,Count1to10,gpt-4o,0,25,
Count1to10,Count1to10,gpt-4o-mini,0,25,
Count1to10,Count1to10,o1-mini,0,25,
Countbcd,Countbcd,gpt-4,0,25,
Countbcd,Countbcd,gpt-4o,0,25,
Countbcd,Countbcd,gpt-4o-mini,0,25,
Countbcd,Countbcd,o1-mini,0,25,
counter_12,counter_12,gpt-4,1,0,
counter_12,counter_12,gpt-4o,1,0,
counter_12,counter_12,gpt-4o-mini,1,0,
counter_12,counter_12,o1-mini,1,0,
Countslow,Countslow,gpt-4,0,25,
Countslow,Countslow,gpt-4o,0,25,
Countslow,Countslow,gpt-4o-mini,0,25,
Countslow,Countslow,o1-mini,0,25,
Count_clock,Count_clock,gpt-4,0,25,
