release_name,norm,prob_id,ve_name
Conwaylife,conwaylife,Prob144,conwaylife
7458_b,7458,Prob081,7458
Always_if,alwaysif,Prob039,always_if
Alwaysblock1,alwaysblock1,Prob026,alwaysblock1
Alwaysblock2_alt,alwaysblock2,Prob058,alwaysblock2
Bugs_case,bugscase,Prob114,bugs_case
Gates100,gates100,Prob052,gates100
Gates4,gates4,Prob051,gates4
Gatesv_alt,gatesv,Prob094,gatesv
Hadd,hadd,Prob024,hadd
Kmap1,kmap1,Prob050,kmap1
Mt2015_eq2,mt2015eq2,Prob020,mt2015_eq2
Mt2015_q4a,mt2015q4a,Prob010,mt2015_q4a
Mux2to1v_b,mux2to1v,Prob017,mux2to1v
alwaysblock2-2,alwaysblock2,Prob058,alwaysblock2
gatesv-2,gatesv,Prob094,gatesv
m2014_q4a-2,m2014q4a,Prob028,m2014_q4a
7420_b,7420,Prob065,7420
Andgate,andgate,Prob014,andgate
Bugs_mux2,bugsmux2,Prob062,bugs_mux2
Fadd,fadd,Prob027,fadd
Gates,gates,Prob087,gates
Mux2to1_b,mux2to1,Prob022,mux2to1
Norgate_b,norgate,Prob011,norgate
Step_one,stepone,Prob003,step_one
Wire,wire,Prob007,wire
Wire4_b,wire4,Prob059,wire4
Xnorgate_b,xnorgate,Prob012,xnorgate
Zero,zero,Prob001,zero
bugs_mux2-2,bugsmux2,Prob062,bugs_mux2
m2014_q4e,m2014q4e,Prob013,m2014_q4e
m2014_q4h,m2014q4h,Prob008,m2014_q4h
Always_casez,alwayscasez,Prob071,always_casez
Always_if2,alwaysif2,Prob132,always_if2
Fsm3comb,fsm3comb,Prob100,fsm3comb
Fsm3onehot,fsm3onehot,Prob079,fsm3onehot
Kmap3,kmap3,Prob125,kmap3
Mux256to1,mux256to1,Prob018,mux256to1
Mux256to1v,mux256to1v,Prob021,mux256to1v
Popcount255,popcount255,Prob030,popcount255
Reduction,reduction,Prob025,reduction
Ringer,ringer,Prob036,ringer
Thermostat,thermostat,Prob072,thermostat
Vector100r,vector100r,Prob023,vector100r
Vector2_b,vector2,Prob004,vector2
Vector3_b,vector3,Prob064,vector3
Vector5_b,vector5,Prob043,vector5
Vectorgates,vectorgates,Prob044,vectorgates
circuit5,circuit5,Prob130,circuit5
circuit6,circuit6,Prob126,circuit6
fsm3onehot-2,fsm3onehot,Prob079,fsm3onehot
fsm_onehot-2,fsmonehot,Prob143,fsm_onehot
Always_case,alwayscase,Prob076,always_case
Always_case2,alwayscase2,Prob112,always_case2
Gatesv100,gatesv100,Prob092,gatesv100
Kmap2_alt,kmap2,Prob057,kmap2
Kmap4,kmap4,Prob122,kmap4
Mux9to1v_b,mux9to1v,Prob097,mux9to1v
Vector1,vector1,Prob015,vector1
Vector4,vector4,Prob042,vector4
Vectorr,vectorr,Prob006,vectorr
always_case2-2,alwayscase2,Prob112,always_case2
circuit2,circuit2,Prob103,circuit2
circuit3,circuit3,Prob102,circuit3
circuit4,circuit4,Prob101,circuit4
ece241_2013_q2_alt,ece2412013q2,Prob070,ece241_2013_q2
ece241_2013_q2-2,ece2412013q2,Prob070,ece241_2013_q2
ece241_2014_q3,ece2412014q3,Prob093,ece241_2014_q3
2012_q1g,2012q1g,Prob113,2012_q1g
Always_nolatches,alwaysnolatches,Prob106,always_nolatches
Bugs_addsubz,bugsaddsubz,Prob123,bugs_addsubz
Conditional,conditional,Prob055,conditional
Popcount3,popcount3,Prob009,popcount3
circuit1,circuit1,Prob090,circuit1
ece241_2014_q1c,ece2412014q1c,Prob033,ece241_2014_q1c
m2014_q3,m2014q3,Prob116,m2014_q3
m2014_q4f,m2014q4f,Prob019,m2014_q4f
m2014_q4g,m2014q4g,Prob029,m2014_q4g
m2014_q4i,m2014q4i,Prob002,m2014_q4i
m2014_q4j,m2014q4j,Prob016,m2014_q4j
m2014_q6b,m2014q6b,Prob135,m2014_q6b
m2014_q6c-2,m2014q6c,Prob099,m2014_q6c
mt2015_q4,mt2015q4,Prob131,mt2015_q4
mt2015_q4b,mt2015q4b,Prob083,mt2015_q4b
truthtable1,truthtable1,Prob069,truthtable1
vector0,vector0,Prob032,vector0
wire_decl,wiredecl,Prob077,wire_decl
2014_q3bfsm,2014q3bfsm,Prob121,2014_q3bfsm
2014_q4a,2014q4a,Prob061,2014_q4a
Countbcd,countbcd,Prob068,countbcd
Countslow,countslow,Prob067,countslow
Dff8ar,dff8ar,Prob047,dff8ar
Dff8p,dff8p,Prob046,dff8p
Edgecapture,edgecapture,Prob066,edgecapture
Edgedetect,edgedetect,Prob054,edgedetect
Edgedetect2,edgedetect2,Prob045,edgedetect2
Fsm3,fsm3,Prob119,fsm3
Fsm3s,fsm3s,Prob120,fsm3s
Shift4,shift4,Prob085,shift4
counter_2bc,counter2bc,Prob075,counter_2bc
edge_detect,edgedetect,Prob054,edgedetect
fsm1s,fsm1s,Prob107,fsm1s
fsm2s,fsm2s,Prob111,fsm2s
m2014_q4k,m2014q4k,Prob060,m2014_q4k
m2014_q6,m2014q6,Prob136,m2014_q6
mt2015_muxdff,mt2015muxdff,Prob104,mt2015_muxdff
Count10,count10,Prob040,count10
Count15,count15,Prob038,count15
Count1to10,count1to10,Prob035,count1to10
Dff,dff,Prob031,dff
Dff8,dff8,Prob034,dff8
Dff8r,dff8r,Prob041,dff8r
ece241_2013_q7,ece2412013q7,Prob056,ece241_2013_q7
fsm1,fsm1,Prob109,fsm1
fsm2,fsm2,Prob110,fsm2
m2014_q4a,m2014q4a,Prob028,m2014_q4a
m2014_q4b,m2014q4b,Prob049,m2014_q4b
m2014_q4c,m2014q4c,Prob048,m2014_q4c
m2014_q4c_alt,m2014q4c,Prob048,m2014_q4c
2013_q2afsm,2013q2afsm,Prob148,2013_q2afsm
2013_q2bfsm,2013q2bfsm,Prob139,2013_q2bfsm
Count_clock,countclock,Prob141,count_clock
ece241_2013_q4,ece2412013q4,Prob149,ece241_2013_q4
ece241_2014_q5a,ece2412014q5a,Prob089,ece241_2014_q5a
gshare,gshare,Prob153,gshare
m2014_q6c_alt,m2014q6c,Prob099,m2014_q6c
review2015_fancytimer,review2015fancytimer,Prob156,review2015_fancytimer
review2015_fsmonehot,review2015fsmonehot,Prob150,review2015_fsmonehot
rotate100,rotate100,Prob105,rotate100
2012_q2fsm,2012q2fsm,Prob138,2012_q2fsm
2014_q3fsm,2014q3fsm,Prob133,2014_q3fsm
Dualedge,dualedge,Prob078,dualedge
Fsm_hdlc,fsmhdlc,Prob140,fsm_hdlc
Lfsr32,lfsr32,Prob082,lfsr32
circuit10,circuit10,Prob147,circuit10
circuit7,circuit7,Prob098,circuit7
circuit8,circuit8,Prob145,circuit8
circuit9,circuit9,Prob117,circuit9
dualedge-2,dualedge,Prob078,dualedge
history_shift,historyshift,Prob118,history_shift
lfsr5,lfsr5,Prob086,lfsr5
review2015_count1k,review2015count1k,Prob037,review2015_count1k
review2015_fsm,review2015fsm,Prob151,review2015_fsm
timer,timer,Prob080,timer
2012_q2b,2012q2b,Prob091,2012_q2b
2014_q3c,2014q3c,Prob134,2014_q3c
2014_q3c-2,2014q3c,Prob134,2014_q3c
Dff16e,dff16e,Prob073,dff16e
Fsm_ps2,fsmps2,Prob128,fsm_ps2
Fsm_ps2data,fsmps2data,Prob154,fsm_ps2data
Fsm_serial,fsmserial,Prob137,fsm_serial
Fsm_serialdata,fsmserialdata,Prob146,fsm_serialdata
Rule110,rule110,Prob124,rule110
Rule90,rule90,Prob108,rule90
Shift18,shift18,Prob115,shift18
ece241_2013_q12,ece2412013q12,Prob084,ece241_2013_q12
ece241_2013_q8,ece2412013q8,Prob129,ece241_2013_q8
ece241_2014_q4,ece2412014q4,Prob074,ece241_2014_q4
ece241_2014_q5b,ece2412014q5b,Prob088,ece241_2014_q5b
lemmings1,lemmings1,Prob127,lemmings1
lemmings2,lemmings2,Prob142,lemmings2
lemmings3,lemmings3,Prob152,lemmings3
lemmings4,lemmings4,Prob155,lemmings4
m2014_q4d,m2014q4d,Prob053,m2014_q4d
review2015_fsmseq,review2015fsmseq,Prob096,review2015_fsmseq
review2015_fsmshift,review2015fsmshift,Prob095,review2015_fsmshift
review2015_fsmshift_alt,review2015fsmshift,Prob095,review2015_fsmshift
review2015_shiftcount,review2015shiftcount,Prob063,review2015_shiftcount
